Station Name,Latitude,Longitude,Address,Town,State,Postcode,Connection Count,Usage Type,Network,PowerKW,Plug Type
SWARISC #1,31.9675155,-99.9013549,Cherri St,Winters,TX,79567,1,,,3.0,
"Toliver Brothers, LLP",31.738206,-99.947308,1301 HUTCHINGS AVE,BALLINGER,TX,76821,1,,,50.0,
Bledsoe Ford,31.853496,-99.425592,2200 N Neches,Coleman,TX,76834,1,,,3.7,
Abilene Eye Institute,32.373182,-99.749356,2120 Antilley RD,Abilene,Texas,79606,1,,,16.0,
Hilton Garden Inn - Tesla,32.3962483,-99.7642839,4449 Ridgemont Dr,Abilene,TX,79606,1,,,8.0,
McGavock Nissan - Abilene,32.408909,-99.771463,818 E Overland Trail,Abilene,TX,79606,1,,,3.7,
"Flying J Travel Center #738 Tye, TX",32.46041079910971,-99.87202435723118,101 N Fm 707,707 Tye,TX,79563 ,2,,,350.0,
Ford - Ivey Motors,31.893878,-100.485262,724 Austin Street,Robert Lee,TX,76945,1,,,3.7,
Goodyear Proving Grounds,31.6087081,-100.3551204,11570 N US Hwy 277,San Angelo,TX,76905,1,,,3.7,
Holiday Inn Abilene - North College Area,32.4926381,-99.7221327,3525 W Lake Rd,Abilene,TX,79601,1,,,3.7,
Landmark Travel Center - Tesla Supercharger,32.4174336,-99.52698061,8075 S Access Rd W,Clyde,TX,79510,1,,,250.0,
Holiday Inn Express & Suites Sweetwater - Tesla,32.4508905,-100.3924797,300 SE Georgia Ave,Sweetwater,TX,79556,1,,,150.0,
"Walmart 3381 - Sweetwater, TX",32.45294,-100.39383,407 NE Georgia Ave,Sweetwater,TX,79556,4,,,50.0,
Super 8 - San Angelo,31.4453696,-100.4406009,410 W Ave L,San Angelo,TX,76903,1,,,3.7,
Apex Clean Energy - Aviator Wind,31.792554725266,-100.69760104453,132 Cemetery Road,Robert Lee,TX,76945,1,,,3.7,
GM - RANDALL MOTORS,31.442491,-100.445539,801 W Avenue N,San Angelo,TX,76903,1,,,50.0,
KOSA STATION 1,31.448468,-100.494307,3970 Arden Rd,San Angelo,TX,76901,1,,,3.7,
Kia of San Angelo,31.448987165729136,-100.49566625845964,Arden Road,,Texas,76901,1,,,12.0,
Jim Bass Ford,31.447563553962027,-100.49569590480215,West Houston Harte Expressway,,Texas,76901,1,,,21.0,
Jim Bass Nissan,31.44646,-100.496244,4052 W Houston Harte Expy,San Angelo,TX,76901,1,,,3.7,
AMERICINN STATION 1,31.439215,-100.49471,2580 Southwest Blvd,San Angelo,TX,76901,1,,,3.7,
"San Angelo, TX",31.4297422899674,-100.512483131386,5502 Sherwood Way,San Angelo,TX,76901,1,,,250.0,
BRUNER TOYOTA CUSTOMER,31.736617,-98.964605,224 Early Blvd,Early,TX,76802,1,,,3.7,
"Cisco, TX",32.3738933,-99.0072197,16851 IH 20,Cisco,TX,76437,1,,,150.0,
La Quinta Inn & Suites by Wyndham - Colorado City,32.4101813,-100.8464124,880 I-20,Colorado City,TX,79512,1,,,3.7,
Best Western Plus Lonestar Inn & Suites,32.4140549321131,-100.859235863706,2304 TX-208,Colorado City,TX,79512,1,,,3.7,
Best Western Plus Lonestar Inn & Suites,32.41439528616175,-100.85949437456485,2304 TX-208,Colorado City,TX,79512,2,,,400.0,
McCulloch County Library,31.134923,-99.331809,401 E Commerce St,Brady,TX,76825,1,,,3.7,
Best Western Brady Inn,31.110918,-99.335222,2200 S Bridge St,Brady,TX,76825,1,,,3.7,
Walmart 561 Eastland,32.403314,-98.792891,1410 East Main Street,Eastland,TX,76448,4,,,50.0,
TEC 1 BAYMONT CT-4021,32.705926,-100.86626,1005 US-180,Snyder,TX,79549,1,,,3.7,
Bayer Motor Co,31.89782,-98.602154,1101 W Central Ave,Comanche,TX,76442,1,,,50.0,
Bayer Chevrolet Buick Cadillac,32.755116,-98.909056,601 W Walker St,Breckenridge,TX,76424,1,,,3.7,
Tegeler Chevrolet Central Texas,31.471063,-98.56815,1260 Highway 84 W,Goldthwaite,TX,76844,1,,,50.0,
Porter's - Tesla Supercharger,32.258109,-101.453297,501 Birdwell Lane,Big Spring,TX,79720,1,,,250.0,
1701 I-20,32.24671936,-101.4954681,1701 I-20,Big Spring,Texas,79720,2,,,,
FCI Big Spring,32.226149,-101.507135,1900 Simler Ave,Big Spring,TX,79720,1,,,1.9,
Best Western Plus - Stephenville Inn,32.2023714,-98.2404544,121 S Lockhart Rd,Stephenville,TX,76401,1,,,3.7,
Payne Gap School,31.388276,-98.356662,1511 FM 572 E,Goldthwaite,TX,76844,1,,,3.7,
